objectID, primaryImageSmall
436102, https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg
436103, https://images.metmuseum.org/CRDImages/ep/web-large/DT1482.jpg
436104, https://images.metmuseum.org/CRDImages/ep/web-large/DP-20588-001.jpg
436105, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13139-001.jpg
436106, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19709-001.jpg
436107, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13141-001.jpg
436108, https://images.metmuseum.org/CRDImages/ep/web-large/DP312864.jpg
436109, https://images.metmuseum.org/CRDImages/ep/web-large/ep68.222.9.R.jpg
436110, https://images.metmuseum.org/CRDImages/ep/web-large/DP327715.jpg
436114, https://images.metmuseum.org/CRDImages/ep/web-large/DT209332.jpg
436115, https://images.metmuseum.org/CRDImages/ep/web-large/DP346117.jpg
436116, https://images.metmuseum.org/CRDImages/ep/web-large/DT202029.jpg
436118, https://images.metmuseum.org/CRDImages/ep/web-large/ep71.93.R.jpg
436119, https://images.metmuseum.org/CRDImages/ep/web-large/ep71.105.R.jpg
436120, https://images.metmuseum.org/CRDImages/ep/web-large/EP1004.jpg
436121, https://images.metmuseum.org/CRDImages/ep/web-large/DT1566.jpg
436122, https://images.metmuseum.org/CRDImages/ep/web-large/DT1920.jpg
436123, https://images.metmuseum.org/CRDImages/ep/web-large/DT1911.jpg
436124, https://images.metmuseum.org/CRDImages/ep/web-large/DP338363.jpg
436125, https://images.metmuseum.org/CRDImages/ep/web-large/DP289327.jpg
436126, https://images.metmuseum.org/CRDImages/ep/web-large/DT1046.jpg
436127, https://images.metmuseum.org/CRDImages/ep/web-large/DP253483.jpg
436128, https://images.metmuseum.org/CRDImages/ep/web-large/DP253482.jpg
436131, https://images.metmuseum.org/CRDImages/ep/web-large/DP253484.jpg
436132, https://images.metmuseum.org/CRDImages/ep/web-large/DT1883.jpg
436134, https://images.metmuseum.org/CRDImages/ep/web-large/DT1913.jpg
436135, https://images.metmuseum.org/CRDImages/ep/web-large/ep29.100.188.bw.R.jpg
436136, https://images.metmuseum.org/CRDImages/ep/web-large/DT12066.jpg
436137, https://images.metmuseum.org/CRDImages/ep/web-large/77I_053R2M.jpg
436138, https://images.metmuseum.org/CRDImages/ep/web-large/DP275510.jpg
436139, https://images.metmuseum.org/CRDImages/ep/web-large/DT840.jpg
436140, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-033.jpg
436141, https://images.metmuseum.org/CRDImages/ep/web-large/DP-25445-001.jpg
436142, https://images.metmuseum.org/CRDImages/ep/web-large/DT1869.jpg
436143, https://images.metmuseum.org/CRDImages/ep/web-large/DT241540.jpg
436144, https://images.metmuseum.org/CRDImages/ep/web-large/DT2117.jpg
436145, https://images.metmuseum.org/CRDImages/ep/web-large/DP-24651-001.jpg
436149, https://images.metmuseum.org/CRDImages/ep/web-large/DT2156.jpg
436150, https://images.metmuseum.org/CRDImages/ep/web-large/DT267444.jpg
436151, https://images.metmuseum.org/CRDImages/ep/web-large/DP289328.jpg
436152, https://images.metmuseum.org/CRDImages/ep/web-large/DT1912.jpg
436153, https://images.metmuseum.org/CRDImages/ep/web-large/DT297552.jpg
436154, https://images.metmuseum.org/CRDImages/ep/web-large/DT1044.jpg
436155, https://images.metmuseum.org/CRDImages/ep/web-large/DT1565.jpg
436156, https://images.metmuseum.org/CRDImages/ep/web-large/DT1006.jpg
436157, https://images.metmuseum.org/CRDImages/ep/web-large/77I_052R2M.jpg
436158, https://images.metmuseum.org/CRDImages/ep/web-large/DT1922.jpg
436159, https://images.metmuseum.org/CRDImages/ep/web-large/DP-25446-001.jpg
436162, https://images.metmuseum.org/CRDImages/ep/web-large/DT1918.jpg
436163, https://images.metmuseum.org/CRDImages/ep/web-large/DT245118.jpg
436165, https://images.metmuseum.org/CRDImages/ep/web-large/DT250756.jpg
436166, https://images.metmuseum.org/CRDImages/ep/web-large/DT253888.jpg
436167, https://images.metmuseum.org/CRDImages/ep/web-large/DP232029.jpg
436168, https://images.metmuseum.org/CRDImages/ep/web-large/DP-24222-001.jpg
436170, https://images.metmuseum.org/CRDImages/ep/web-large/DT1917.jpg
436171, https://images.metmuseum.org/CRDImages/ep/web-large/DP253485.jpg
436172, https://images.metmuseum.org/CRDImages/ep/web-large/DP253481.jpg
436173, https://images.metmuseum.org/CRDImages/ep/web-large/DP253480.jpg
436174, https://images.metmuseum.org/CRDImages/ep/web-large/DT1910.jpg
436175, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14347-001.jpg
436176, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14343-001.jpg
436177, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14092-001.jpg
436178, https://images.metmuseum.org/CRDImages/ep/web-large/DT2001.jpg
436179, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14346-001.jpg
436180, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14345-001.jpg
436181, https://images.metmuseum.org/CRDImages/ep/web-large/94560.jpg
436182, https://images.metmuseum.org/CRDImages/ep/web-large/DP318357.jpg
436183, https://images.metmuseum.org/CRDImages/ep/web-large/DP318355.jpg
436186, https://images.metmuseum.org/CRDImages/ep/web-large/DP283310.jpg
436187, https://images.metmuseum.org/CRDImages/ep/web-large/ep08.136.5.bw.R.jpg
436188, https://images.metmuseum.org/CRDImages/ep/web-large/DT259753.jpg
436189, https://images.metmuseum.org/CRDImages/ep/web-large/DP364161.jpg
436190, https://images.metmuseum.org/CRDImages/ep/web-large/DP289719.jpg
436191, https://images.metmuseum.org/CRDImages/ep/web-large/DP352743.jpg
436192, https://images.metmuseum.org/CRDImages/ep/web-large/DP352741.jpg
436193, https://images.metmuseum.org/CRDImages/ep/web-large/DP-20595-001.jpg
436195, https://images.metmuseum.org/CRDImages/ep/web-large/DP366369.jpg
436196, https://images.metmuseum.org/CRDImages/ep/web-large/DP366371.jpg
436198, https://images.metmuseum.org/CRDImages/ep/web-large/DP-22910-001.jpg
436199, https://images.metmuseum.org/CRDImages/ep/web-large/DP-22532-001.jpg
436200, https://images.metmuseum.org/CRDImages/ep/web-large/ep71.162.bw.R.jpg
436201, https://images.metmuseum.org/CRDImages/ep/web-large/DP273092.jpg
436202, https://images.metmuseum.org/CRDImages/ep/web-large/57270.jpg
436203, https://images.metmuseum.org/CRDImages/ep/web-large/DT11667.jpg
436205, https://images.metmuseum.org/CRDImages/ep/web-large/DT10296.jpg
436206, https://images.metmuseum.org/CRDImages/ep/web-large/ep08.136.14.bw.R.jpg
436207, https://images.metmuseum.org/CRDImages/ep/web-large/DP318275.jpg
436208, https://images.metmuseum.org/CRDImages/ep/web-large/DP123842.jpg
436209, https://images.metmuseum.org/CRDImages/ep/web-large/DP101529.jpg
436210, https://images.metmuseum.org/CRDImages/ep/web-large/DP145902.jpg
436211, https://images.metmuseum.org/CRDImages/ep/web-large/DP146487.jpg
436212, https://images.metmuseum.org/CRDImages/ep/web-large/DP145914.jpg
436213, https://images.metmuseum.org/CRDImages/ep/web-large/DP324044.jpg
436214, https://images.metmuseum.org/CRDImages/ep/web-large/DP-406-01.jpg
436215, https://images.metmuseum.org/CRDImages/ep/web-large/DP323397.jpg
436216, https://images.metmuseum.org/CRDImages/ep/web-large/DP324593.jpg
436217, https://images.metmuseum.org/CRDImages/ep/web-large/DP324600.jpg
436219, https://images.metmuseum.org/CRDImages/ep/web-large/DP327720.jpg
436220, https://images.metmuseum.org/CRDImages/ep/web-large/175428.jpg
436221, https://images.metmuseum.org/CRDImages/ep/web-large/DP146500.jpg
436222, https://images.metmuseum.org/CRDImages/ep/web-large/DP164843.jpg
436223, https://images.metmuseum.org/CRDImages/ep/web-large/DP371472.jpg
